DATE,M2
2019-04-22,14556.7
2019-04-29,14601.4
2019-05-06,14617.2
2019-05-13,14625.2
2019-05-20,14666.3
2019-05-27,14709.0
2019-06-03,14739.3
2019-06-10,14764.5
2019-06-17,14791.5
2019-06-24,14810.2
2019-07-01,14844.2
2019-07-08,14846.1
2019-07-15,14841.2
2019-07-22,14881.6
2019-07-29,14915.4
2019-08-05,14932.6
2019-08-12,14933.6
2019-08-19,14933.7
2019-08-26,14950.7
2019-09-02,14984.6
2019-09-09,14993.4
2019-09-16,15004.7
2019-09-23,15057.6
2019-09-30,15098.0
2019-10-07,15122.4
2019-10-14,15128.6
2019-10-21,15167.2
2019-10-28,15200.4
2019-11-04,15224.8
2019-11-11,15232.2
2019-11-18,15263.5
2019-11-25,15294.2
2019-12-02,15293.1
2019-12-09,15274.4
2019-12-16,15328.7
2019-12-23,15338.9
2019-12-30,15346.3
2020-01-06,15350.8
2020-01-13,15386.8
2020-01-20,15437.6
2020-01-27,15459.5
2020-02-03,15442.8
2020-02-10,15445.0
2020-02-17,15455.7
2020-02-24,15446.8
2020-03-02,15524.8
2020-03-09,15579.8
2020-03-16,15738.5
2020-03-23,16163.5
2020-03-30,16545.3
2020-04-06,16609.7
2020-04-13,16728.7
2020-04-20,17089.5
2020-04-27,17419.4
2020-05-04,17613.3
2020-05-11,17832.6
2020-05-18,17922.6
2020-05-25,17951.3
2020-06-01,17985.0
2020-06-08,18075.3
2020-06-15,18152.1
2020-06-22,18249.4
2020-06-29,18245.7
2020-07-06,18338.2
2020-07-13,18396.3
2020-07-20,18321.2
2020-07-27,18282.4
2020-08-03,18252.1
2020-08-10,18390.9
2020-08-17,18433.8
2020-08-24,18366.6
2020-08-31,18441.2
2020-09-07,18548.7
